Year,Model,Performance
2000,BMW 3,Good
2000,Hyundai Elantra,Good
2000,Hyundai Elantra,Bad
2000,Honda Civic,Bad
2001,Honda Civic,Bad
2001,Ford Focus,Good
2001,Hyundai Elantra,Bad
2001,Audi A4,Good
2002,Honda Civic,Bad
2002,Ford Focus,Good
2002,Kia Forte,Good
2002,Kia Forte,Bad
2002,Toyota Corolla,Bad
2002,Ford Focus,Good
2002,Audi A4,Good
2004,Hyundai Elantra,Bad
2004,BMW 3,Good
2004,Ford Focus,Bad
2004,BMW 3,Bad
2005,Kia Forte,Good
2005,Audi A4,Good
2005,Ford Focus,Good
2005,Honda Civic,Bad
2005,BMW 3,Good
2005,BMW 3,Good
2005,Toyota Corolla,Bad
2006,Ford Focus,Bad
2006,Toyota Corolla,Good
2006,Toyota Corolla,Good
2007,Kia Forte,Bad
2007,BMW 3,Bad
2007,Hyundai Elantra,Good
2007,Toyota Corolla,Bad
2008,Audi A4,Good
2008,BMW 3,Good
2008,Kia Forte,Good
2008,Kia Forte,Bad
2009,Honda Civic,Good
2009,Honda Civic,Bad
2009,Kia Forte,Good
2011,Toyota Corolla,Bad
2011,Ford Focus,Bad
2011,Kia Forte,Good
2011,Hyundai Elantra,Bad
2012,Honda Civic,Good
2012,Toyota Corolla,Good
2012,BMW 3,Good
2012,Hyundai Elantra,Bad
2012,Toyota Corolla,Bad
2012,BMW 3,Good
2012,Ford Focus,Bad
2013,Toyota Corolla,Good
2013,Ford Focus,Good
2013,Hyundai Elantra,Good
2013,BMW 3,Good
2013,Audi A4,Good
2013,BMW 3,Good
2013,Kia Forte,Bad
2014,Ford Focus,Bad
2014,Toyota Corolla,Good
2014,Toyota Corolla,Good
2014,Ford Focus,Good
2014,Honda Civic,Good
2014,BMW 3,Good
2015,BMW 3,Good
2015,Ford Focus,Good
2015,Toyota Corolla,Bad
2015,Toyota Corolla,Good
2015,Kia Forte,Good
2015,Kia Forte,Bad
2015,Audi A4,Good
2015,Hyundai Elantra,Bad
2015,Honda Civic,Good
2016,Ford Focus,Bad
2016,BMW 3,Good
2016,BMW 3,Good
2016,Honda Civic,Bad
2017,Audi A4,Good
2017,Honda Civic,Bad
2017,BMW 3,Good
2018,Toyota Corolla,Bad
2018,Toyota Corolla,Bad
2018,Hyundai Elantra,Good
2020,Honda Civic,Bad
2020,BMW 3,Good
2020,Kia Forte,Good
2020,Honda Civic,Bad
2020,BMW 3,Good
2020,Audi A4,Good
2020,Audi A4,Good
2021,Audi A4,Good
2021,Ford Focus,Bad
2021,BMW 3,Good
2021,Hyundai Elantra,Good
2021,BMW 3,Good
2021,Hyundai Elantra,Good
2021,Kia Forte,Bad
2022,Ford Focus,Bad
2022,Honda Civic,Bad
2022,Kia Forte,Good
